"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"06081","0","SIC_0Z","26","0",1975,"A","","San Mateo County, California","Total Covered","All Industries","County, Total Covered","All establishment sizes",9828,181924,2200649442,0,0,232,12096
"06081","1","SIC_0Z","27","0",1975,"A","","San Mateo County, California","Federal Government","All Industries","County, Total -- by ownership sector","All establishment sizes",18,4650,72079930,0,0,298,15501
"06081","1","SIC_0E","28","0",1975,"A","","San Mateo County, California","Federal Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",1,1694,24382046,0,0,276,14393
"06081","1","SIC_0E43","29","0",1975,"A","","San Mateo County, California","Federal Government","SIC 43 U.S. Postal Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1694,24382046,0,0,276,14393
"06081","1","SIC_0I","28","0",1975,"A","","San Mateo County, California","Federal Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",3,19,370400,0,0,374,19494
"06081","1","SIC_0I73","29","0",1975,"A","","San Mateo County, California","Federal Government","SIC 73 Business Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,3,78951,0,0,506,26317
"06081","1","SIC_0I79","29","0",1975,"A","","San Mateo County, California","Federal Government","SIC 79 Amusement and Recreation Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1,14818,0,0,284,14818
"06081","1","SIC_0I89","29","0",1975,"A","","San Mateo County, California","Federal Government","SIC 89 Services, Nec","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,15,276631,0,0,354,18442
"06081","1","SIC_0J","28","0",1975,"A","","San Mateo County, California","Federal Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",14,2937,47327484,0,0,309,16114
"06081","1","SIC_0J91","29","0",1975,"A","","San Mateo County, California","Federal Government","SIC 91 Executive, Legislative, and General","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,1612,26408438,0,0,315,16382
"06081","1","SIC_0J93","29","0",1975,"A","","San Mateo County, California","Federal Government","SIC 93 Finance, Taxation, and Monetary Policy","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,29,628523,0,0,416,21673
