"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"06081","0","SIC_0Z","26","0",1979,"A","","San Mateo County, California","Total Covered","All Industries","County, Total Covered","All establishment sizes",12247,245478,3845862235,0,0,301,15666
"06081","1","SIC_0Z","27","0",1979,"A","","San Mateo County, California","Federal Government","All Industries","County, Total -- by ownership sector","All establishment sizes",17,5564,104608027,0,0,361,18800
"06081","1","SIC_0E","28","0",1979,"A","","San Mateo County, California","Federal Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",1,1593,30708647,0,0,370,19277
"06081","1","SIC_0E43","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 43 U.S. Postal Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1593,30708647,0,0,370,19277
"06081","1","SIC_0I","28","0",1979,"A","","San Mateo County, California","Federal Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",1,12,302215,0,0,484,25184
"06081","1","SIC_0I73","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 73 Business Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,1086,0,0,0,0
"06081","1","SIC_0I89","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 89 Services, Nec","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,12,301129,0,0,482,25094
"06081","1","SIC_0J","28","0",1979,"A","","San Mateo County, California","Federal Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",15,3959,73597165,0,0,357,18589
"06081","1","SIC_0J91","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 91 Executive, Legislative, and General","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,2395,42087088,0,0,337,17572
"06081","1","SIC_0J92","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 92 Justice, Public Order, and Safety","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,83,2071690,0,0,480,24960
"06081","1","SIC_0J93","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 93 Finance, Taxation, and Monetary Policy","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,61,1002698,0,0,316,16437
"06081","1","SIC_0J94","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 94 Administration of Human Resources","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,115,1899432,0,0,317,16516
"06081","1","SIC_0J95","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 95 Environmental Quality and Housing","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,13,205475,0,0,303,15805
"06081","1","SIC_0J96","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 96 Administration of Economic Programs","County, 2-digit SIC -- by ownership sector","All establishment sizes",5,250,6702075,0,0,515,26808
"06081","1","SIC_0J97","29","0",1979,"A","","San Mateo County, California","Federal Government","SIC 97 National Security and Intl. Affairs","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1042,19628707,0,0,362,18837
"06081","2","SIC_0Z","27","0",1979,"A","","San Mateo County, California","State Government","All Industries","County, Total -- by ownership sector","All establishment sizes",42,750,16583927,0,0,425,22111
"06081","2","SIC_0I","28","0",1979,"A","","San Mateo County, California","State Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",3,6,191300,0,0,613,31883
"06081","2","SIC_0I83","29","0",1979,"A","","San Mateo County, California","State Government","SIC 83 Social Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,6,191300,0,0,613,31883
"06081","2","SIC_0J","28","0",1979,"A","","San Mateo County, California","State Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",39,744,16392627,0,0,423,22033
"06081","2","SIC_0J92","29","0",1979,"A","","San Mateo County, California","State Government","SIC 92 Justice, Public Order, and Safety","County, 2-digit SIC -- by ownership sector","All establishment sizes",4,128,3526801,0,0,529,27553
"06081","2","SIC_0J94","29","0",1979,"A","","San Mateo County, California","State Government","SIC 94 Administration of Human Resources","County, 2-digit SIC -- by ownership sector","All establishment sizes",4,129,2526151,0,0,376,19582
"06081","2","SIC_0J95","29","0",1979,"A","","San Mateo County, California","State Government","SIC 95 Environmental Quality and Housing","County, 2-digit SIC -- by ownership sector","All establishment sizes",6,175,4009675,0,0,440,22912
"06081","2","SIC_0J96","29","0",1979,"A","","San Mateo County, California","State Government","SIC 96 Administration of Economic Programs","County, 2-digit SIC -- by ownership sector","All establishment sizes",25,312,6330000,0,0,390,20288
"06081","3","SIC_0Z","27","0",1979,"A","","San Mateo County, California","Local Government","All Industries","County, Total -- by ownership sector","All establishment sizes",104,24700,353987979,0,0,275,14331
"06081","3","SIC_0C","28","0",1979,"A","N","San Mateo County, California","Local Government","Construction Division","County, Industry Division -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0C16","29","0",1979,"A","N","San Mateo County, California","Local Government","SIC 16 Heavy Construction, ex. Building","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0E","28","0",1979,"A","","San Mateo County, California","Local Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",15,573,9086312,0,0,304,15857
