"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"06081","0","SIC_0Z","26","0",1978,"A","","San Mateo County, California","Total Covered","All Industries","County, Total Covered","All establishment sizes",11769,232641,3388815307,0,0,280,14566
"06081","1","SIC_0Z","27","0",1978,"A","","San Mateo County, California","Federal Government","All Industries","County, Total -- by ownership sector","All establishment sizes",21,5155,94089393,0,0,351,18252
"06081","1","SIC_0E","28","0",1978,"A","","San Mateo County, California","Federal Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",1,1496,27272619,0,0,350,18230
"06081","1","SIC_0E43","29","0",1978,"A","","San Mateo County, California","Federal Government","SIC 43 U.S. Postal Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1496,27272619,0,0,350,18230
"06081","1","SIC_0I","28","0",1978,"A","","San Mateo County, California","Federal Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",3,17,405732,0,0,458,23866
"06081","1","SIC_0I73","29","0",1978,"A","","San Mateo County, California","Federal Government","SIC 73 Business Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,2,30541,0,0,293,15270
"06081","1","SIC_0I79","29","0",1978,"A","","San Mateo County, California","Federal Government","SIC 79 Amusement and Recreation Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,1661,0,0,0,0
"06081","1","SIC_0I89","29","0",1978,"A","","San Mateo County, California","Federal Government","SIC 89 Services, Nec","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,15,373530,0,0,478,24902
"06081","1","SIC_0J","28","0",1978,"A","","San Mateo County, California","Federal Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",17,3642,66411042,0,0,350,18234
"06081","1","SIC_0J91","29","0",1978,"A","","San Mateo County, California","Federal Government","SIC 91 Executive, Legislative, and General","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,2122,36706283,0,0,332,17297
"06081","1","SIC_0J93","29","0",1978,"A","","San Mateo County, California","Federal Government","SIC 93 Finance, Taxation, and Monetary Policy","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,141,2753302,0,0,375,19526
"06081","1","SIC_0J94","29","0",1978,"A","","San Mateo County, California","Federal Government","SIC 94 Administration of Human Resources","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,118,1749314,0,0,285,14824
