"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"06081","0","SIC_0Z","26","0",1977,"A","","San Mateo County, California","Total Covered","All Industries","County, Total Covered","All establishment sizes",10706,197521,2708008340,0,0,263,13709
"06081","1","SIC_0Z","27","0",1977,"A","","San Mateo County, California","Federal Government","All Industries","County, Total -- by ownership sector","All establishment sizes",19,4806,85346126,0,0,341,17758
"06081","1","SIC_0E","28","0",1977,"A","","San Mateo County, California","Federal Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",1,1500,25882845,0,0,331,17255
"06081","1","SIC_0E43","29","0",1977,"A","","San Mateo County, California","Federal Government","SIC 43 U.S. Postal Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1500,25882845,0,0,331,17255
"06081","1","SIC_0I","28","0",1977,"A","","San Mateo County, California","Federal Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",3,16,402461,0,0,483,25153
"06081","1","SIC_0I73","29","0",1977,"A","","San Mateo County, California","Federal Government","SIC 73 Business Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,1,21908,0,0,421,21908
"06081","1","SIC_0I89","29","0",1977,"A","","San Mateo County, California","Federal Government","SIC 89 Services, Nec","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,15,380553,0,0,487,25370
"06081","1","SIC_0J","28","0",1977,"A","","San Mateo County, California","Federal Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",15,3290,59060820,0,0,345,17951
"06081","1","SIC_0J91","29","0",1977,"A","","San Mateo County, California","Federal Government","SIC 91 Executive, Legislative, and General","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,1860,33252263,0,0,343,17877
"06081","1","SIC_0J93","29","0",1977,"A","","San Mateo County, California","Federal Government","SIC 93 Finance, Taxation, and Monetary Policy","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,66,1366816,0,0,398,20709
"06081","1","SIC_0J94","29","0",1977,"A","","San Mateo County, California","Federal Government","SIC 94 Administration of Human Resources","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,113,1572205,0,0,267,13913
"06081","1","SIC_0J95","29","0",1977,"A","","San Mateo County, California","Federal Government","SIC 95 Environmental Quality and Housing","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,7,97088,0,0,266,13869
