"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"06081","0","SIC_0Z","26","0",1980,"A","","San Mateo County, California","Total Covered","All Industries","County, Total Covered","All establishment sizes",12409,251151,4333350688,0,0,331,17253
"06081","1","SIC_0Z","27","0",1980,"A","","San Mateo County, California","Federal Government","All Industries","County, Total -- by ownership sector","All establishment sizes",19,6058,119320900,0,0,378,19696
"06081","1","SIC_0E","28","0",1980,"A","","San Mateo County, California","Federal Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",1,1681,36903025,0,0,422,21953
"06081","1","SIC_0E43","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 43 U.S. Postal Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1681,36903025,0,0,422,21953
"06081","1","SIC_0I","28","0",1980,"A","","San Mateo County, California","Federal Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",2,12,299687,0,0,480,24973
"06081","1","SIC_0I73","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 73 Business Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1,57149,0,0,1099,57149
"06081","1","SIC_0I89","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 89 Services, Nec","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,11,242538,0,0,424,22048
"06081","1","SIC_0J","28","0",1980,"A","","San Mateo County, California","Federal Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",16,4365,82118188,0,0,361,18812
"06081","1","SIC_0J91","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 91 Executive, Legislative, and General","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,2677,46259249,0,0,332,17280
"06081","1","SIC_0J92","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 92 Justice, Public Order, and Safety","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,84,2251533,0,0,515,26803
"06081","1","SIC_0J93","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 93 Finance, Taxation, and Monetary Policy","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,49,942907,0,0,370,19243
"06081","1","SIC_0J94","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 94 Administration of Human Resources","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,127,2064989,0,0,312,16259
"06081","1","SIC_0J95","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 95 Environmental Quality and Housing","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,12,218424,0,0,350,18202
"06081","1","SIC_0J96","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 96 Administration of Economic Programs","County, 2-digit SIC -- by ownership sector","All establishment sizes",5,366,8009413,0,0,420,21883
"06081","1","SIC_0J97","29","0",1980,"A","","San Mateo County, California","Federal Government","SIC 97 National Security and Intl. Affairs","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1050,22371673,0,0,409,21306
"06081","2","SIC_0Z","27","0",1980,"A","","San Mateo County, California","State Government","All Industries","County, Total -- by ownership sector","All establishment sizes",43,748,19247883,0,0,494,25732
"06081","2","SIC_0I","28","0",1980,"A","","San Mateo County, California","State Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",6,13,481150,0,0,711,37011
"06081","2","SIC_0I83","29","0",1980,"A","","San Mateo County, California","State Government","SIC 83 Social Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",6,13,481150,0,0,711,37011
