"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay"
"06081","0","SIC_0Z","26","0",1981,"A","","San Mateo County, California","Total Covered","All Industries","County, Total Covered","All establishment sizes",12692,252532,4747022607,0,0,361,18797
"06081","1","SIC_0Z","27","0",1981,"A","","San Mateo County, California","Federal Government","All Industries","County, Total -- by ownership sector","All establishment sizes",19,6076,135576206,0,0,429,22313
"06081","1","SIC_0E","28","0",1981,"A","","San Mateo County, California","Federal Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",1,1749,43066263,0,0,473,24623
"06081","1","SIC_0E43","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 43 U.S. Postal Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1749,43066263,0,0,473,24623
"06081","1","SIC_0I","28","0",1981,"A","","San Mateo County, California","Federal Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",2,10,310917,0,0,597,31091
"06081","1","SIC_0I73","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 73 Business Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,2,65242,0,0,627,32621
"06081","1","SIC_0I89","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 89 Services, Nec","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,8,245675,0,0,590,30709
"06081","1","SIC_0J","28","0",1981,"A","","San Mateo County, California","Federal Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",16,4317,92199026,0,0,410,21357
"06081","1","SIC_0J91","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 91 Executive, Legislative, and General","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,2427,46158550,0,0,365,19018
"06081","1","SIC_0J92","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 92 Justice, Public Order, and Safety","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,81,2480312,0,0,588,30621
"06081","1","SIC_0J93","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 93 Finance, Taxation, and Monetary Policy","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,58,1186779,0,0,393,20461
"06081","1","SIC_0J94","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 94 Administration of Human Resources","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,140,2507330,0,0,344,17909
"06081","1","SIC_0J95","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 95 Environmental Quality and Housing","County, 2-digit SIC -- by ownership sector","All establishment sizes",2,11,233228,0,0,407,21202
"06081","1","SIC_0J96","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 96 Administration of Economic Programs","County, 2-digit SIC -- by ownership sector","All establishment sizes",4,513,14285392,0,0,535,27846
"06081","1","SIC_0J97","29","0",1981,"A","","San Mateo County, California","Federal Government","SIC 97 National Security and Intl. Affairs","County, 2-digit SIC -- by ownership sector","All establishment sizes",1,1087,25347435,0,0,448,23318
"06081","2","SIC_0Z","27","0",1981,"A","","San Mateo County, California","State Government","All Industries","County, Total -- by ownership sector","All establishment sizes",43,760,14996107,0,0,379,19731
"06081","2","SIC_0I","28","0",1981,"A","","San Mateo County, California","State Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",7,21,524211,0,0,480,24962
"06081","2","SIC_0I80","29","0",1981,"A","N","San Mateo County, California","State Government","SIC 80 Health Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","2","SIC_0I83","29","0",1981,"A","N","San Mateo County, California","State Government","SIC 83 Social Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","2","SIC_0J","28","0",1981,"A","","San Mateo County, California","State Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",36,739,14471896,0,0,376,19583
"06081","2","SIC_0J92","29","0",1981,"A","","San Mateo County, California","State Government","SIC 92 Justice, Public Order, and Safety","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,116,3066903,0,0,508,26438
"06081","2","SIC_0J94","29","0",1981,"A","","San Mateo County, California","State Government","SIC 94 Administration of Human Resources","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,138,2245509,0,0,312,16271
"06081","2","SIC_0J95","29","0",1981,"A","","San Mateo County, California","State Government","SIC 95 Environmental Quality and Housing","County, 2-digit SIC -- by ownership sector","All establishment sizes",5,157,3249509,0,0,398,20697
"06081","2","SIC_0J96","29","0",1981,"A","","San Mateo County, California","State Government","SIC 96 Administration of Economic Programs","County, 2-digit SIC -- by ownership sector","All establishment sizes",25,328,5909975,0,0,346,18018
"06081","3","SIC_0Z","27","0",1981,"A","","San Mateo County, California","Local Government","All Industries","County, Total -- by ownership sector","All establishment sizes",126,23569,409737665,0,0,334,17384
"06081","3","SIC_0C","28","0",1981,"A","","San Mateo County, California","Local Government","Construction Division","County, Industry Division -- by ownership sector","All establishment sizes",5,310,7219175,0,0,447,23287
"06081","3","SIC_0C16","29","0",1981,"A","","San Mateo County, California","Local Government","SIC 16 Heavy Construction, ex. Building","County, 2-digit SIC -- by ownership sector","All establishment sizes",5,310,7219175,0,0,447,23287
"06081","3","SIC_0E","28","0",1981,"A","","San Mateo County, California","Local Government","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",20,785,16074504,0,0,393,20477
"06081","3","SIC_0E41","29","0",1981,"A","N","San Mateo County, California","Local Government","SIC 41 Local And Interurban Passenger Transit","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0E44","29","0",1981,"A","N","San Mateo County, California","Local Government","SIC 44 Water Transportation","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0E45","29","0",1981,"A","N","San Mateo County, California","Local Government","SIC 45 Transportation By Air","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0E49","29","0",1981,"A","","San Mateo County, California","Local Government","SIC 49 Electric, Gas, And Sanitary Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",17,347,7404236,0,0,410,21337
"06081","3","SIC_0H","28","0",1981,"A","","San Mateo County, California","Local Government","Finance, Insurance, and Real Estate Division","County, Industry Division -- by ownership sector","All establishment sizes",4,263,1946494,0,0,142,7401
"06081","3","SIC_0H64","29","0",1981,"A","N","San Mateo County, California","Local Government","SIC 64 Insurance Agents, Brokers, and Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0H65","29","0",1981,"A","N","San Mateo County, California","Local Government","SIC 65 Real Estate","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0I","28","0",1981,"A","","San Mateo County, California","Local Government","Services Division","County, Industry Division -- by ownership sector","All establishment sizes",44,15707,253959278,0,0,310,16168
"06081","3","SIC_0I79","29","0",1981,"A","N","San Mateo County, California","Local Government","SIC 79 Amusement and Recreation Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0I80","29","0",1981,"A","","San Mateo County, California","Local Government","SIC 80 Health Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,3077,53445810,0,0,334,17369
"06081","3","SIC_0I82","29","0",1981,"A","","San Mateo County, California","Local Government","SIC 82 Educational Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",32,12033,193746396,0,0,309,16101
"06081","3","SIC_0I83","29","0",1981,"A","N","San Mateo County, California","Local Government","SIC 83 Social Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0J","28","0",1981,"A","","San Mateo County, California","Local Government","Public Administration Division","County, Industry Division -- by ownership sector","All establishment sizes",53,6504,130538214,0,0,385,20070
"06081","3","SIC_0J91","29","0",1981,"A","","San Mateo County, California","Local Government","SIC 91 Executive, Legislative, and General","County, 2-digit SIC -- by ownership sector","All establishment sizes",22,2617,47821821,0,0,351,18273
"06081","3","SIC_0J92","29","0",1981,"A","","San Mateo County, California","Local Government","SIC 92 Justice, Public Order, and Safety","County, 2-digit SIC -- by ownership sector","All establishment sizes",13,2193,52044006,0,0,456,23731
"06081","3","SIC_0J93","29","0",1981,"A","","San Mateo County, California","Local Government","SIC 93 Finance, Taxation, and Monetary Policy","County, 2-digit SIC -- by ownership sector","All establishment sizes",4,242,4884609,0,0,388,20184
"06081","3","SIC_0J94","29","0",1981,"A","","San Mateo County, California","Local Government","SIC 94 Administration of Human Resources","County, 2-digit SIC -- by ownership sector","All establishment sizes",3,1189,20707546,0,0,334,17415
"06081","3","SIC_0J95","29","0",1981,"A","","San Mateo County, California","Local Government","SIC 95 Environmental Quality and Housing","County, 2-digit SIC -- by ownership sector","All establishment sizes",8,144,3008476,0,0,401,20892
"06081","3","SIC_0J96","29","0",1981,"A","N","San Mateo County, California","Local Government","SIC 96 Administration of Economic Programs","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","3","SIC_0J97","29","0",1981,"A","N","San Mateo County, California","Local Government","SIC 97 National Security and Intl. Affairs","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","5","SIC_0Z","27","0",1981,"A","","San Mateo County, California","Private","All Industries","County, Total -- by ownership sector","All establishment sizes",12504,222127,4186712629,0,0,362,18848
"06081","5","SIC_0A","28","0",1981,"A","","San Mateo County, California","Private","Agriculture, Forestry, and Fishing Division","County, Industry Division -- by ownership sector","All establishment sizes",381,4130,46489790,0,0,216,11256
"06081","5","SIC_0A01","29","0",1981,"A","","San Mateo County, California","Private","SIC 01 Agricultural Production Crops","County, 2-digit SIC -- by ownership sector","All establishment sizes",114,2757,29491546,0,0,205,10696
"06081","5","SIC_0A02","29","0",1981,"A","","San Mateo County, California","Private","SIC 02 Agricultural Production Livestock","County, 2-digit SIC -- by ownership sector","All establishment sizes",19,55,515551,0,0,180,9373
"06081","5","SIC_0A07","29","0",1981,"A","","San Mateo County, California","Private","SIC 07 Agricultural Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",242,1302,16259381,0,0,240,12488
"06081","5","SIC_0A08","29","0",1981,"A","N","San Mateo County, California","Private","SIC 08 Forestry","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","5","SIC_0A09","29","0",1981,"A","N","San Mateo County, California","Private","SIC 09 Fishing, Hunting, and Trapping","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","5","SIC_0B","28","0",1981,"A","","San Mateo County, California","Private","Mining Division","County, Industry Division -- by ownership sector","All establishment sizes",8,96,3508589,0,0,702,36547
"06081","5","SIC_0B10","29","0",1981,"A","N","San Mateo County, California","Private","SIC 10 Metal Mining","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","5","SIC_0B13","29","0",1981,"A","","San Mateo County, California","Private","SIC 13 Oil and Gas Extraction","County, 2-digit SIC -- by ownership sector","All establishment sizes",6,65,1968882,0,0,582,30290
"06081","5","SIC_0B14","29","0",1981,"A","N","San Mateo County, California","Private","SIC 14 Nonmetallic Minerals, Except Fuels","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","5","SIC_0C","28","0",1981,"A","","San Mateo County, California","Private","Construction Division","County, Industry Division -- by ownership sector","All establishment sizes",1136,13284,342088619,0,0,495,25751
"06081","5","SIC_0C15","29","0",1981,"A","","San Mateo County, California","Private","SIC 15 General Building Contractors","County, 2-digit SIC -- by ownership sector","All establishment sizes",427,3711,94914287,0,0,491,25576
"06081","5","SIC_0C16","29","0",1981,"A","","San Mateo County, California","Private","SIC 16 Heavy Construction, ex. Building","County, 2-digit SIC -- by ownership sector","All establishment sizes",69,2573,76218916,0,0,569,29622
"06081","5","SIC_0C17","29","0",1981,"A","","San Mateo County, California","Private","SIC 17 Special Trade Contractors","County, 2-digit SIC -- by ownership sector","All establishment sizes",640,7000,170955416,0,0,469,24422
"06081","5","SIC_0D","28","0",1981,"A","","San Mateo County, California","Private","Manufacturing Division","County, Industry Division -- by ownership sector","All establishment sizes",943,35563,783606817,0,0,423,22034
"06081","5","SIC_0D20","29","0",1981,"A","","San Mateo County, California","Private","SIC 20 Food and Kindred Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",52,3510,73810191,0,0,404,21028
"06081","5","SIC_0D22","29","0",1981,"A","N","San Mateo County, California","Private","SIC 22 Textile Mill Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","5","SIC_0D23","29","0",1981,"A","","San Mateo County, California","Private","SIC 23 Apparel and Other Textile Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",28,636,7643658,0,0,231,12018
"06081","5","SIC_0D24","29","0",1981,"A","","San Mateo County, California","Private","SIC 24 Lumber and Wood Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",31,415,9550530,0,0,442,23013
"06081","5","SIC_0D25","29","0",1981,"A","","San Mateo County, California","Private","SIC 25 Furniture and Fixtures","County, 2-digit SIC -- by ownership sector","All establishment sizes",23,530,9905990,0,0,359,18690
"06081","5","SIC_0D26","29","0",1981,"A","","San Mateo County, California","Private","SIC 26 Paper and Allied Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",22,1314,25385677,0,0,371,19319
"06081","5","SIC_0D27","29","0",1981,"A","","San Mateo County, California","Private","SIC 27 Printing and Publishing","County, 2-digit SIC -- by ownership sector","All establishment sizes",176,3592,69934231,0,0,374,19469
"06081","5","SIC_0D28","29","0",1981,"A","","San Mateo County, California","Private","SIC 28 Chemicals and Allied Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",43,2168,51652509,0,0,458,23824
"06081","5","SIC_0D29","29","0",1981,"A","","San Mateo County, California","Private","SIC 29 Petroleum and Coal Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",6,85,2360177,0,0,533,27766
"06081","5","SIC_0D30","29","0",1981,"A","","San Mateo County, California","Private","SIC 30 Rubber and Misc. Plastics Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",38,1621,32535885,0,0,385,20071
"06081","5","SIC_0D31","29","0",1981,"A","N","San Mateo County, California","Private","SIC 31 Leather and Leather Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","5","SIC_0D32","29","0",1981,"A","","San Mateo County, California","Private","SIC 32 Stone, Clay, and Glass Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",25,578,13672583,0,0,454,23654
"06081","5","SIC_0D33","29","0",1981,"A","","San Mateo County, California","Private","SIC 33 Primary Metal Industries","County, 2-digit SIC -- by ownership sector","All establishment sizes",14,3627,102004463,0,0,540,28123
"06081","5","SIC_0D34","29","0",1981,"A","","San Mateo County, California","Private","SIC 34 Fabricated Metal Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",106,2363,52025040,0,0,423,22016
"06081","5","SIC_0D35","29","0",1981,"A","","San Mateo County, California","Private","SIC 35 Industrial Machinery and Equipment","County, 2-digit SIC -- by ownership sector","All establishment sizes",207,2999,70880202,0,0,454,23634
"06081","5","SIC_0D36","29","0",1981,"A","","San Mateo County, California","Private","SIC 36 Electronic and Other Electric Equipment","County, 2-digit SIC -- by ownership sector","All establishment sizes",88,10598,233715728,0,0,424,22052
"06081","5","SIC_0D37","29","0",1981,"A","","San Mateo County, California","Private","SIC 37 Transportation Equipment","County, 2-digit SIC -- by ownership sector","All establishment sizes",22,249,4440242,0,0,342,17832
"06081","5","SIC_0D38","29","0",1981,"A","","San Mateo County, California","Private","SIC 38 Instruments and Related Products","County, 2-digit SIC -- by ownership sector","All establishment sizes",27,674,13648090,0,0,389,20249
"06081","5","SIC_0D39","29","0",1981,"A","","San Mateo County, California","Private","SIC 39 Miscellaneous Manufacturing Industries","County, 2-digit SIC -- by ownership sector","All establishment sizes",31,519,9287216,0,0,344,17894
"06081","5","SIC_0E","28","0",1981,"A","","San Mateo County, California","Private","Transportation and Public Utilities Division","County, Industry Division -- by ownership sector","All establishment sizes",391,30542,872680206,0,0,549,28573
"06081","5","SIC_0E41","29","0",1981,"A","","San Mateo County, California","Private","SIC 41 Local And Interurban Passenger Transit","County, 2-digit SIC -- by ownership sector","All establishment sizes",21,692,10434849,0,0,289,15079
"06081","5","SIC_0E42","29","0",1981,"A","","San Mateo County, California","Private","SIC 42 Trucking And Warehousing","County, 2-digit SIC -- by ownership sector","All establishment sizes",164,2464,53118820,0,0,414,21557
"06081","5","SIC_0E44","29","0",1981,"A","N","San Mateo County, California","Private","SIC 44 Water Transportation","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","5","SIC_0E45","29","0",1981,"A","","San Mateo County, California","Private","SIC 45 Transportation By Air","County, 2-digit SIC -- by ownership sector","All establishment sizes",27,21067,679521473,0,0,620,32255
"06081","5","SIC_0E46","29","0",1981,"A","N","San Mateo County, California","Private","SIC 46 Pipelines, Except Natural Gas","County, 2-digit SIC -- by ownership sector","All establishment sizes",0,0,0,0,0,0,0
"06081","5","SIC_0E47","29","0",1981,"A","","San Mateo County, California","Private","SIC 47 Transportation Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",132,1490,24665080,0,0,318,16553
"06081","5","SIC_0E48","29","0",1981,"A","","San Mateo County, California","Private","SIC 48 Communication","County, 2-digit SIC -- by ownership sector","All establishment sizes",18,3602,76333872,0,0,407,21192
"06081","5","SIC_0E49","29","0",1981,"A","","San Mateo County, California","Private","SIC 49 Electric, Gas, And Sanitary Services","County, 2-digit SIC -- by ownership sector","All establishment sizes",23,1203,28192311,0,0,450,23435
"06081","5","SIC_0F","28","0",1981,"A","","San Mateo County, California","Private","Wholesale Trade Division","County, Industry Division -- by ownership sector","All establishment sizes",1458,24107,530172861,0,0,422,21992
"06081","5","SIC_0F50","29","0",1981,"A","","San Mateo County, California","Private","SIC 50 Wholesale Trade Durable Goods","County, 2-digit SIC -- by ownership sector","All establishment sizes",899,14887,338401849,0,0,437,22731
"06081","5","SIC_0F51","29","0",1981,"A","","San Mateo County, California","Private","SIC 51 Wholesale Trade Nondurable Goods","County, 2-digit SIC -- by ownership sector","All establishment sizes",559,9220,191771012,0,0,399,20799
"06081","5","SIC_0G","28","0",1981,"A","","San Mateo County, California","Private","Retail Trade Division","County, Industry Division -- by ownership sector","All establishment sizes",2521,43940,516067264,0,0,225,11744
"06081","5","SIC_0G52","29","0",1981,"A","","San Mateo County, California","Private","SIC 52 Building Materials and Garden Supplies","County, 2-digit SIC -- by ownership sector","All establishment sizes",118,1327,22364390,0,0,324,16853
"06081","5","SIC_0G53","29","0",1981,"A","","San Mateo County, California","Private","SIC 53 General Merchandise Stores","County, 2-digit SIC -- by ownership sector","All establishment sizes",34,6789,68856033,0,0,195,10142
"06081","5","SIC_0G54","29","0",1981,"A","","San Mateo County, California","Private","SIC 54 Food Stores","County, 2-digit SIC -- by ownership sector","All establishment sizes",314,5402,87401735,0,0,311,16179
"06081","5","SIC_0G55","29","0",1981,"A","","San Mateo County, California","Private","SIC 55 Automotive Dealers and Service Stations","County, 2-digit SIC -- by ownership sector","All establishment sizes",379,4844,81727972,0,0,324,16872
"06081","5","SIC_0G56","29","0",1981,"A","","San Mateo County, California","Private","SIC 56 Apparel and Accessory Stores","County, 2-digit SIC -- by ownership sector","All establishment sizes",172,4051,41003973,0,0,194,10121
"06081","5","SIC_0G57","29","0",1981,"A","","San Mateo County, California","Private","SIC 57 Furniture and Homefurnishings Stores","County, 2-digit SIC -- by ownership sector","All establishment sizes",238,2484,39208663,0,0,303,15784
"06081","5","SIC_0G58","29","0",1981,"A","","San Mateo County, California","Private","SIC 58 Eating and Drinking Places","County, 2-digit SIC -- by ownership sector","All establishment sizes",698,13637,116455923,0,0,164,8539
"06081","5","SIC_0G59","29","0",1981,"A","","San Mateo County, California","Private","SIC 59 Miscellaneous Retail","County, 2-digit SIC -- by ownership sector","All establishment sizes",568,5406,59048575,0,0,210,10922
"06081","5","SIC_0H","28","0",1981,"A","","San Mateo County, California","Private","Finance, Insurance, and Real Estate Division","County, Industry Division -- by ownership sector","All establishment sizes",1159,16605,288346200,0,0,333,17365
"06081","5","SIC_0H60","29","0",1981,"A","","San Mateo County, California","Private","SIC 60 Depository Institutions","County, 2-digit SIC -- by ownership sector","All establishment sizes",20,3231,41899274,0,0,249,12967
"06081","5","SIC_0H61","29","0",1981,"A","","San Mateo County, California","Private","SIC 61 Nondepository Institutions","County, 2-digit SIC -- by ownership sector","All establishment sizes",105,2683,45439705,0,0,325,16936
"06081","5","SIC_0H62","29","0",1981,"A","","San Mateo County, California","Private","SIC 62 Security and Commodity Brokers","County, 2-digit SIC -- by ownership sector","All establishment sizes",32,391,10321844,0,0,507,26398
"06081","5","SIC_0H63","29","0",1981,"A","","San Mateo County, California","Private","SIC 63 Insurance Carriers","County, 2-digit SIC -- by ownership sector","All establishment sizes",45,3223,59281893,0,0,353,18393
"06081","5","SIC_0H64","29","0",1981,"A","","San Mateo County, California","Private","SIC 64 Insurance Agents, Brokers, and Service","County, 2-digit SIC -- by ownership sector","All establishment sizes",215,1630,31501341,0,0,371,19325
"06081","5","SIC_0H65","29","0",1981,"A","","San Mateo County, California","Private","SIC 65 Real Estate","County, 2-digit SIC -- by ownership sector","All establishment sizes",683,5254,95094211,0,0,348,18099
"06081","5","SIC_0H66","29","0",1981,"A","","San Mateo County, California","Private","1972 SIC 66 Combined Real Estate, Insurance, Etc","County, 2-digit SIC -- by ownership sector","All establishment sizes",8,24,237866,0,0,190,9911
"06081","5","SIC_0H67","29","0",1981,"A","","San Mateo County, California","Private","SIC 67 Holding and Other Investment Offices","County, 2-digit SIC -- by ownership sector","All establishment sizes",51,169,4570066,0,0,520,27041
